date_key,full_date,year,quarter,month,month_name,week,day_of_week,is_weekend,financial_year
20240701,2024-07-01,2024,Q3,7,July,27,Monday,False,FY2024-25
20240702,2024-07-02,2024,Q3,7,July,27,Tuesday,False,FY2024-25
20240703,2024-07-03,2024,Q3,7,July,27,Wednesday,False,FY2024-25
20240704,2024-07-04,2024,Q3,7,July,27,Thursday,False,FY2024-25
20240705,2024-07-05,2024,Q3,7,July,27,Friday,False,FY2024-25
20240706,2024-07-06,2024,Q3,7,July,27,Saturday,True,FY2024-25
20240707,2024-07-07,2024,Q3,7,July,27,Sunday,True,FY2024-25
20240708,2024-07-08,2024,Q3,7,July,28,Monday,False,FY2024-25
20240709,2024-07-09,2024,Q3,7,July,28,Tuesday,False,FY2024-25
20240710,2024-07-10,2024,Q3,7,July,28,Wednesday,False,FY2024-25
20240711,2024-07-11,2024,Q3,7,July,28,Thursday,False,FY2024-25
20240712,2024-07-12,2024,Q3,7,July,28,Friday,False,FY2024-25
20240713,2024-07-13,2024,Q3,7,July,28,Saturday,True,FY2024-25
20240714,2024-07-14,2024,Q3,7,July,28,Sunday,True,FY2024-25
20240715,2024-07-15,2024,Q3,7,July,29,Monday,False,FY2024-25
20240716,2024-07-16,2024,Q3,7,July,29,Tuesday,False,FY2024-25
20240717,2024-07-17,2024,Q3,7,July,29,Wednesday,False,FY2024-25
20240718,2024-07-18,2024,Q3,7,July,29,Thursday,False,FY2024-25
20240719,2024-07-19,2024,Q3,7,July,29,Friday,False,FY2024-25
20240720,2024-07-20,2024,Q3,7,July,29,Saturday,True,FY2024-25
20240721,2024-07-21,2024,Q3,7,July,29,Sunday,True,FY2024-25
20240722,2024-07-22,2024,Q3,7,July,30,Monday,False,FY2024-25
20240723,2024-07-23,2024,Q3,7,July,30,Tuesday,False,FY2024-25
20240724,2024-07-24,2024,Q3,7,July,30,Wednesday,False,FY2024-25
20240725,2024-07-25,2024,Q3,7,July,30,Thursday,False,FY2024-25
20240726,2024-07-26,2024,Q3,7,July,30,Friday,False,FY2024-25
20240727,2024-07-27,2024,Q3,7,July,30,Saturday,True,FY2024-25
20240728,2024-07-28,2024,Q3,7,July,30,Sunday,True,FY2024-25
20240729,2024-07-29,2024,Q3,7,July,31,Monday,False,FY2024-25
20240730,2024-07-30,2024,Q3,7,July,31,Tuesday,False,FY2024-25
20240731,2024-07-31,2024,Q3,7,July,31,Wednesday,False,FY2024-25
20240801,2024-08-01,2024,Q3,8,August,31,Thursday,False,FY2024-25
20240802,2024-08-02,2024,Q3,8,August,31,Friday,False,FY2024-25
20240803,2024-08-03,2024,Q3,8,August,31,Saturday,True,FY2024-25
20240804,2024-08-04,2024,Q3,8,August,31,Sunday,True,FY2024-25
20240805,2024-08-05,2024,Q3,8,August,32,Monday,False,FY2024-25
20240806,2024-08-06,2024,Q3,8,August,32,Tuesday,False,FY2024-25
20240807,2024-08-07,2024,Q3,8,August,32,Wednesday,False,FY2024-25
20240808,2024-08-08,2024,Q3,8,August,32,Thursday,False,FY2024-25
20240809,2024-08-09,2024,Q3,8,August,32,Friday,False,FY2024-25
20240810,2024-08-10,2024,Q3,8,August,32,Saturday,True,FY2024-25
20240811,2024-08-11,2024,Q3,8,August,32,Sunday,True,FY2024-25
20240812,2024-08-12,2024,Q3,8,August,33,Monday,False,FY2024-25
20240813,2024-08-13,2024,Q3,8,August,33,Tuesday,False,FY2024-25
20240814,2024-08-14,2024,Q3,8,August,33,Wednesday,False,FY2024-25
20240815,2024-08-15,2024,Q3,8,August,33,Thursday,False,FY2024-25
20240816,2024-08-16,2024,Q3,8,August,33,Friday,False,FY2024-25
20240817,2024-08-17,2024,Q3,8,August,33,Saturday,True,FY2024-25
20240818,2024-08-18,2024,Q3,8,August,33,Sunday,True,FY2024-25
20240819,2024-08-19,2024,Q3,8,August,34,Monday,False,FY2024-25
20240820,2024-08-20,2024,Q3,8,August,34,Tuesday,False,FY2024-25
20240821,2024-08-21,2024,Q3,8,August,34,Wednesday,False,FY2024-25
20240822,2024-08-22,2024,Q3,8,August,34,Thursday,False,FY2024-25
20240823,2024-08-23,2024,Q3,8,August,34,Friday,False,FY2024-25
20240824,2024-08-24,2024,Q3,8,August,34,Saturday,True,FY2024-25
20240825,2024-08-25,2024,Q3,8,August,34,Sunday,True,FY2024-25
20240826,2024-08-26,2024,Q3,8,August,35,Monday,False,FY2024-25
20240827,2024-08-27,2024,Q3,8,August,35,Tuesday,False,FY2024-25
20240828,2024-08-28,2024,Q3,8,August,35,Wednesday,False,FY2024-25
20240829,2024-08-29,2024,Q3,8,August,35,Thursday,False,FY2024-25
20240830,2024-08-30,2024,Q3,8,August,35,Friday,False,FY2024-25
20240831,2024-08-31,2024,Q3,8,August,35,Saturday,True,FY2024-25
20240901,2024-09-01,2024,Q3,9,September,35,Sunday,True,FY2024-25
20240902,2024-09-02,2024,Q3,9,September,36,Monday,False,FY2024-25
20240903,2024-09-03,2024,Q3,9,September,36,Tuesday,False,FY2024-25
20240904,2024-09-04,2024,Q3,9,September,36,Wednesday,False,FY2024-25
20240905,2024-09-05,2024,Q3,9,September,36,Thursday,False,FY2024-25
20240906,2024-09-06,2024,Q3,9,September,36,Friday,False,FY2024-25
20240907,2024-09-07,2024,Q3,9,September,36,Saturday,True,FY2024-25
20240908,2024-09-08,2024,Q3,9,September,36,Sunday,True,FY2024-25
20240909,2024-09-09,2024,Q3,9,September,37,Monday,False,FY2024-25
20240910,2024-09-10,2024,Q3,9,September,37,Tuesday,False,FY2024-25
20240911,2024-09-11,2024,Q3,9,September,37,Wednesday,False,FY2024-25
20240912,2024-09-12,2024,Q3,9,September,37,Thursday,False,FY2024-25
20240913,2024-09-13,2024,Q3,9,September,37,Friday,False,FY2024-25
20240914,2024-09-14,2024,Q3,9,September,37,Saturday,True,FY2024-25
20240915,2024-09-15,2024,Q3,9,September,37,Sunday,True,FY2024-25
20240916,2024-09-16,2024,Q3,9,September,38,Monday,False,FY2024-25
20240917,2024-09-17,2024,Q3,9,September,38,Tuesday,False,FY2024-25
20240918,2024-09-18,2024,Q3,9,September,38,Wednesday,False,FY2024-25
20240919,2024-09-19,2024,Q3,9,September,38,Thursday,False,FY2024-25
20240920,2024-09-20,2024,Q3,9,September,38,Friday,False,FY2024-25
20240921,2024-09-21,2024,Q3,9,September,38,Saturday,True,FY2024-25
20240922,2024-09-22,2024,Q3,9,September,38,Sunday,True,FY2024-25
20240923,2024-09-23,2024,Q3,9,September,39,Monday,False,FY2024-25
20240924,2024-09-24,2024,Q3,9,September,39,Tuesday,False,FY2024-25
20240925,2024-09-25,2024,Q3,9,September,39,Wednesday,False,FY2024-25
20240926,2024-09-26,2024,Q3,9,September,39,Thursday,False,FY2024-25
20240927,2024-09-27,2024,Q3,9,September,39,Friday,False,FY2024-25
20240928,2024-09-28,2024,Q3,9,September,39,Saturday,True,FY2024-25
20240929,2024-09-29,2024,Q3,9,September,39,Sunday,True,FY2024-25
20240930,2024-09-30,2024,Q3,9,September,40,Monday,False,FY2024-25
20241001,2024-10-01,2024,Q4,10,October,40,Tuesday,False,FY2024-25
20241002,2024-10-02,2024,Q4,10,October,40,Wednesday,False,FY2024-25
20241003,2024-10-03,2024,Q4,10,October,40,Thursday,False,FY2024-25
20241004,2024-10-04,2024,Q4,10,October,40,Friday,False,FY2024-25
20241005,2024-10-05,2024,Q4,10,October,40,Saturday,True,FY2024-25
20241006,2024-10-06,2024,Q4,10,October,40,Sunday,True,FY2024-25
20241007,2024-10-07,2024,Q4,10,October,41,Monday,False,FY2024-25
20241008,2024-10-08,2024,Q4,10,October,41,Tuesday,False,FY2024-25
20241009,2024-10-09,2024,Q4,10,October,41,Wednesday,False,FY2024-25
20241010,2024-10-10,2024,Q4,10,October,41,Thursday,False,FY2024-25
20241011,2024-10-11,2024,Q4,10,October,41,Friday,False,FY2024-25
20241012,2024-10-12,2024,Q4,10,October,41,Saturday,True,FY2024-25
20241013,2024-10-13,2024,Q4,10,October,41,Sunday,True,FY2024-25
20241014,2024-10-14,2024,Q4,10,October,42,Monday,False,FY2024-25
20241015,2024-10-15,2024,Q4,10,October,42,Tuesday,False,FY2024-25
20241016,2024-10-16,2024,Q4,10,October,42,Wednesday,False,FY2024-25
20241017,2024-10-17,2024,Q4,10,October,42,Thursday,False,FY2024-25
20241018,2024-10-18,2024,Q4,10,October,42,Friday,False,FY2024-25
20241019,2024-10-19,2024,Q4,10,October,42,Saturday,True,FY2024-25
20241020,2024-10-20,2024,Q4,10,October,42,Sunday,True,FY2024-25
20241021,2024-10-21,2024,Q4,10,October,43,Monday,False,FY2024-25
20241022,2024-10-22,2024,Q4,10,October,43,Tuesday,False,FY2024-25
20241023,2024-10-23,2024,Q4,10,October,43,Wednesday,False,FY2024-25
20241024,2024-10-24,2024,Q4,10,October,43,Thursday,False,FY2024-25
20241025,2024-10-25,2024,Q4,10,October,43,Friday,False,FY2024-25
20241026,2024-10-26,2024,Q4,10,October,43,Saturday,True,FY2024-25
20241027,2024-10-27,2024,Q4,10,October,43,Sunday,True,FY2024-25
20241028,2024-10-28,2024,Q4,10,October,44,Monday,False,FY2024-25
20241029,2024-10-29,2024,Q4,10,October,44,Tuesday,False,FY2024-25
20241030,2024-10-30,2024,Q4,10,October,44,Wednesday,False,FY2024-25
20241031,2024-10-31,2024,Q4,10,October,44,Thursday,False,FY2024-25
20241101,2024-11-01,2024,Q4,11,November,44,Friday,False,FY2024-25
20241102,2024-11-02,2024,Q4,11,November,44,Saturday,True,FY2024-25
20241103,2024-11-03,2024,Q4,11,November,44,Sunday,True,FY2024-25
20241104,2024-11-04,2024,Q4,11,November,45,Monday,False,FY2024-25
20241105,2024-11-05,2024,Q4,11,November,45,Tuesday,False,FY2024-25
20241106,2024-11-06,2024,Q4,11,November,45,Wednesday,False,FY2024-25
